# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v2.0.10                                                     
#!BT DATE                        06-OCT-2021_17:28:04_+0200                                  
#!BT SYSID                       [none]                                                      
#!BT NATOMS                      58                                                          
#!BT NTYPES                      5                                                           
#!BT ATOMSPERTYPE                28,2,4,22,2                                                 
#!BT NELEC                       9.000000E+01,9.000000E+01                                   
#!BT DX                   a0     3.500000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-07                                                
#!BT BOOSTKVEC                   7.071068E-01,7.071068E-01,0.000000E+00                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry 4.689004E-02,-3.801881E-01,-2.442345E-02                    
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 2.067068666828068E-01 -1.624352020386154E-03 -1.569213489146626E-03  9.715010060983714E-06
 4.134137333656137E-01 -2.815507398017773E-03 -2.548684290669179E-03  4.985158436637133E-05
 6.201206000484205E-01 -3.633606514221087E-03 -2.966369431548377E-03  1.217074880738890E-04
 8.268274667312273E-01 -4.107524156675937E-03 -2.940884010507405E-03  2.010085944043338E-04
 1.033534333414034E+00 -4.288069185218693E-03 -2.643567627969079E-03  2.649037913803123E-04
 1.240241200096841E+00 -4.218681921984394E-03 -2.204806157664996E-03  3.041687650159920E-04
 1.446948066779648E+00 -3.950743033608456E-03 -1.726355962401283E-03  3.177338132115473E-04
 1.653654933462455E+00 -3.522457839048677E-03 -1.260226222311644E-03  3.084681454123515E-04
 1.860361800145262E+00 -2.991710020393334E-03 -8.396523824269475E-04  2.820178190026182E-04
 2.067068666828068E+00 -2.403702603795820E-03 -4.694204943854752E-04  2.444309846771665E-04
 2.273775533510875E+00 -1.808208927454549E-03 -1.509978238612431E-04  2.026957086561122E-04
 2.480482400193682E+00 -1.243997528544129E-03  1.203553549424252E-04  1.632982325826329E-04
 2.687189266876489E+00 -7.341808893158996E-04  3.465701871651072E-04  1.305710123790139E-04
 2.893896133559296E+00 -2.968479489090098E-04  5.286648022693186E-04  1.069668505030083E-04
 3.100603000242102E+00  5.440354371803735E-05  6.674820220122779E-04  9.255912973417380E-05
 3.307309866924909E+00  3.113497573665400E-04  7.594683020816229E-04  8.525659416974002E-05
 3.514016733607716E+00  4.769829249082480E-04  8.033106930248612E-04  8.311387037483048E-05
 3.720723600290523E+00  5.608268883909723E-04  7.980625030704624E-04  8.433871394460807E-05
 3.927430466973330E+00  5.769324194083714E-04  7.492429398855416E-04  8.719641440373474E-05
 4.134137333656136E+00  5.372340197967382E-04  6.629975451056258E-04  8.906282183080913E-05
 4.340844200338943E+00  4.541049293472904E-04  5.518601305905535E-04  8.718425390092169E-05
 4.547551067021750E+00  3.354352766528346E-04  4.280684823154135E-04  7.941616145054967E-05
 4.754257933704557E+00  1.910777795288560E-04  3.063836336890113E-04  6.486808994886004E-05
 4.960964800387364E+00  3.174113189891026E-05  1.974279562506620E-04  4.487912063283819E-05
 5.167671667070171E+00 -1.308427298384318E-04  1.089308785041099E-04  2.261200979668254E-05
 5.374378533752978E+00 -2.914726490754055E-04  4.079017431324328E-05  8.970947415407049E-07
 5.581085400435785E+00 -4.455165128930960E-04 -9.887952582610104E-06 -1.846571103179817E-05
 5.787792267118591E+00 -5.891304219603211E-04 -4.777591425542127E-05 -3.329792930127987E-05
