# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v2.0.8-274-g813ffda                                         
#!BT DATE                        06-APR-2021_15:53:23_+0200                                  
#!BT SYSID                       [none]                                                      
#!BT NATOMS                      44                                                          
#!BT NTYPES                      4                                                           
#!BT ATOMSPERTYPE                20,2,4,18                                                   
#!BT NELEC                       6.600000E+01,6.600000E+01                                   
#!BT DX                   a0     3.500000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-07                                                
#!BT BOOSTKVEC                   1.000000E+00,0.000000E+00,0.000000E+00                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry -6.321277E-03,-1.125717E+00,-4.509021E-02                   
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 2.067068666828068E-01 -1.932815296023432E-03 -3.212618244541332E-06 -1.640175280030742E-06
 4.134137333656137E-01 -3.344927194175661E-03 -1.543968789707861E-05 -8.200886988322942E-06
 6.201206000484205E-01 -4.252193398183475E-03 -3.560273930536262E-05 -3.432391416684222E-05
 8.268274667312273E-01 -4.740671192911083E-03 -5.551925216451536E-05 -9.456486835622557E-05
 1.033534333414034E+00 -4.860196333286415E-03 -6.785455217128700E-05 -1.893634505119035E-04
 1.240241200096841E+00 -4.679205230304734E-03 -6.926939407092547E-05 -3.062750646687859E-04
 1.446948066779648E+00 -4.258343010895348E-03 -5.981596945070500E-05 -4.271366291490331E-04
 1.653654933462455E+00 -3.662213053732395E-03 -4.205080478469903E-05 -5.342091078622546E-04
 1.860361800145262E+00 -2.958612699355444E-03 -1.999547834996562E-05 -6.137888904520494E-04
 2.067068666828068E+00 -2.216682233089282E-03  2.361045796428485E-06 -6.567760319256752E-04
 2.273775533510875E+00 -1.498809780400741E-03  2.202226481085034E-05 -6.587756863533356E-04
 2.480482400193682E+00 -8.531293600190556E-04  3.700156240848962E-05 -6.183125252014407E-04
 2.687189266876489E+00 -3.089721645373016E-04  4.640957759294295E-05 -5.370592619957162E-04
 2.893896133559296E+00  1.174124858407078E-04  5.006108768457196E-05 -4.209427607094265E-04
 3.100603000242102E+00  4.188273330968601E-04  4.827515442329400E-05 -2.803554881199433E-04
 3.307309866924909E+00  5.979011575979656E-04  4.202243308015774E-05 -1.288352604174176E-04
 3.514016733607716E+00  6.681207682270396E-04  3.302741745492277E-05  2.004627786107022E-05
 3.720723600290523E+00  6.520070334219081E-04  2.355554746058530E-05  1.548558262384758E-04
