# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v3.0.3                                                      
#!BT DATE                        29-JUN-2022_10:49:34_+0200                                  
#!BT SYSID                       "B302_HIS_CH3"                                              
#!BT NATOMS                      97                                                          
#!BT NTYPES                      5                                                           
#!BT ATOMSPERTYPE                40,44,6,6,1                                                 
#!BT NELEC                       1.360000E+02,1.360000E+02                                   
#!BT DX                   a0     3.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   4.134137E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-03                                                
#!BT BOOSTKVEC                   7.071068E-01,0.000000E+00,7.071068E-01                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry 2.482709E+02,3.177657E+02,7.468487E+02                      
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 4.134137333656137E-01 -3.328116868291602E-01  3.608859115615815E-03 -3.497707508590793E-01
 8.268274667312273E-01 -4.357334088692255E-01  1.504872670994928E-02 -5.022893108331346E-01
 1.240241200096841E+00 -4.023816334688490E-01  3.009844026109931E-02 -5.210949760457879E-01
 1.653654933462455E+00 -3.016696920165884E-01  3.803650158374694E-02 -4.418134806195440E-01
 2.067068666828068E+00 -1.837904669745569E-01  3.461510782130972E-02 -3.118933140980289E-01
 2.480482400193682E+00 -7.229712508606667E-02  2.358846410993465E-02 -1.683957542059034E-01
 2.893896133559295E+00  1.422183165064439E-02  1.119002267074620E-02 -4.519885041281668E-02
 3.307309866924909E+00  6.922251734599172E-02  1.407726818285937E-03  4.180510548974326E-02
 3.720723600290523E+00  9.246535185349103E-02 -4.946482926186491E-03  8.779624062628955E-02
 4.134137333656136E+00  8.933180394939200E-02 -7.250841838299493E-03  9.568538600558441E-02
 4.547551067021750E+00  6.917303356360094E-02 -5.273311528242175E-03  7.621377234545434E-02
 4.960964800387364E+00  4.110524553505002E-02 -1.986446771411465E-04  4.119442609010093E-02
 5.374378533752978E+00  1.353779400923827E-02  6.282867063021058E-03  2.714987941203617E-03
 5.787792267118591E+00 -9.256899176676825E-03  1.226154695564219E-02 -3.178460615606582E-02
 6.201206000484205E+00 -2.480995779808381E-02  1.643235483413719E-02 -5.728846209490257E-02
 6.614619733849818E+00 -3.345054884374576E-02  1.813065519979773E-02 -7.226639029806847E-02
