# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v3.3.7                                                      
#!BT DATE                        20-JUN-2023_10:48:45_+0200                                  
#!BT SYSID                       "B302_HIS_H"                                                
#!BT NATOMS                      94                                                          
#!BT NTYPES                      5                                                           
#!BT ATOMSPERTYPE                39,42,6,6,1                                                 
#!BT NELEC                       1.330000E+02,1.330000E+02                                   
#!BT DX                   a0     3.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   4.134137E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-03                                                
#!BT BOOSTKVEC                   0.000000E+00,1.000000E+00,0.000000E+00                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT AREA NAME                                                                               
#!BT DIP0                 dip_ry 2.343258E+02,2.819551E+02,3.125946E+02                      
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 4.134137333656137E-01  1.065927843291092E-02 -4.612928467237225E-01 -5.920857539706503E-03
 8.268274667312273E-01  4.227228044473463E-02 -5.934399370017900E-01 -2.267509963581915E-02
 1.240241200096841E+00  7.753083880430722E-02 -5.336608155536169E-01 -3.841776164210842E-02
 1.653654933462455E+00  9.128029003375104E-02 -3.864758583232515E-01 -4.236975483286187E-02
 2.067068666828068E+00  7.919000923217823E-02 -2.250903239107060E-01 -3.578759986856994E-02
 2.480482400193682E+00  5.254661185844611E-02 -7.956841265564663E-02 -2.438976124358305E-02
 2.893896133559295E+00  2.547749321885817E-02  2.858062966168973E-02 -1.351015039955428E-02
 3.307309866924909E+00  6.441325745356608E-03  9.336983972110602E-02 -6.453339663892166E-03
 3.720723600290523E+00 -3.032354269151938E-03  1.162150315336703E-01 -4.153525948197512E-03
 4.134137333656136E+00 -3.125732124829028E-03  1.051189368816381E-01 -5.909641462835680E-03
 4.547551067021750E+00  4.280025448650804E-03  7.231856007490478E-02 -9.698550574228193E-03
 4.960964800387364E+00  1.590726417325072E-02  2.988080445572905E-02 -1.392715379068932E-02
 5.374378533752978E+00  2.851520377302563E-02 -1.060259618242299E-02 -1.750041589741613E-02
 5.787792267118591E+00  3.961949802069853E-02 -4.195039816653434E-02 -2.030912726644374E-02
 6.201206000484205E+00  4.739213032809175E-02 -6.070685445956769E-02 -2.220945471168534E-02
 6.614619733849818E+00  5.066720844195061E-02 -6.917747767465698E-02 -2.330288229103417E-02
