# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v2.0.11                                                     
#!BT DATE                        04-NOV-2021_10:04:01_+0100                                  
#!BT SYSID                       [none]                                                      
#!BT NATOMS                      4                                                           
#!BT NTYPES                      1                                                           
#!BT ATOMSPERTYPE                4                                                           
#!BT NELEC                       2.000000E+00,2.000000E+00                                   
#!BT DX                   a0     5.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   no                                                          
#!BT BOOSTENERGY          Ry     0.000000E+00                                                
#!BT BOOSTKVEC                   0.000000E+00,0.000000E+00,0.000000E+00                      
#!BT EXCITATION                  laser_mono                                                  
#!BT EXCITMASK                   gauss                                                       
#!BT NLASER                      1                                                           
#!BT LASERFREQ            Ry     1.520014E-01                                                
#!BT LASERINT             W/cm^2 1.000000E+07                                                
#!BT LASEREFIELD          E_ry   2.387186E-05                                                
#!BT LASERPOLX                   0.000000E+00                                                
#!BT LASERPOLY                   0.000000E+00                                                
#!BT LASERPOLZ                   1.000000E+00                                                
#!BT LASERSTART           t_ry   0.000000E+00                                                
#!BT LASEREND             t_ry   2.067069E+02                                                
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        atomgroups1                                                 
#!BT NAREAS                      2                                                           
#!BT AREA                        2                                                           
#!BT SPIN                        tot                                                         
#!BT DIP0                 dip_ry -2.264660E+01,-8.254905E-14,6.617287E-13                    
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 2.067068666828068E-01 -7.574385563202668E-11 -1.619541171371813E-15 -1.469355081207683E-14
 4.134137333656137E-01 -2.809947829973680E-10 -2.677011475289378E-14 -1.493955240784945E-13
 6.201206000484205E-01 -6.467324453751644E-10 -1.210699789852140E-13 -7.354441873121805E-13
 8.268274667312273E-01 -1.119779824421130E-09 -3.701841795599295E-13 -2.408146481392507E-12
 1.033534333414034E+00 -1.743050148661496E-09 -8.677184587796281E-13 -6.181925957551678E-12
 1.240241200096841E+00 -2.501241880281668E-09 -1.725592943830136E-12 -1.368399884068806E-11
 1.446948066779648E+00 -3.367183865066181E-09 -3.053967004402233E-12 -2.731365162951519E-11
 1.653654933462455E+00 -4.389587360265068E-09 -5.015073472043916E-12 -5.058824562226398E-11
 1.860361800145262E+00 -5.516351819778720E-09 -7.605365474925212E-12 -8.798565629850171E-11
 2.067068666828068E+00 -6.767375992922098E-09 -1.056603236073514E-11 -1.454484247944177E-10
 2.273775533510875E+00 -8.158398401292288E-09 -1.324467558604472E-11 -2.286840862041784E-10
 2.480482400193682E+00 -9.638878140094675E-09 -1.509296245825001E-11 -3.452423565172806E-10
 2.687189266876489E+00 -1.124502446714359E-08 -1.566889307155635E-11 -5.042939308171594E-10
 2.893896133559296E+00 -1.295325446903917E-08 -1.488788825866982E-11 -7.170324211240956E-10
 3.100603000242102E+00 -1.475111233162352E-08 -1.323333893200829E-11 -9.979510258659948E-10
 3.307309866924909E+00 -1.665920024152001E-08 -1.208911875814066E-11 -1.366311980637104E-09
 3.514016733607716E+00 -1.863781662336805E-08 -1.380506832135291E-11 -1.847289808142138E-09
 3.720723600290523E+00 -2.070414950594568E-08 -2.195814247679381E-11 -2.474565695736134E-09
 3.927430466973330E+00 -2.285102596033539E-08 -4.163993178785008E-11 -3.292934772561819E-09
 4.134137333656136E+00 -2.505131035945851E-08 -7.953867327363804E-11 -4.361179117475806E-09
 4.340844200338943E+00 -2.733167292490180E-08 -1.436511077194683E-10 -5.754279842994134E-09
 4.547551067021750E+00 -2.965770562468606E-08 -2.432298912200622E-10 -7.566349274544706E-09
 4.754257933704557E+00 -3.202834619742134E-08 -3.886189639512751E-10 -9.911839852048955E-09
 4.960964800387364E+00 -3.445985896632919E-08 -5.909396891859264E-10 -1.292702849533228E-08
 5.167671667070171E+00 -3.690446348514342E-08 -8.618218102653701E-10 -1.677138741627732E-08
 5.374378533752978E+00 -3.939323889312618E-08 -1.213077554507805E-09 -2.162715723368383E-08
 5.581085400435785E+00 -4.190412283833211E-08 -1.656607579265138E-09 -2.769790380499910E-08
 5.787792267118591E+00 -4.441629997131713E-08 -2.204135926918813E-09 -3.520981085706652E-08
 5.994499133801398E+00 -4.696049060726182E-08 -2.866961894976935E-09 -4.440804967691442E-08
 6.201206000484205E+00 -4.948258691683804E-08 -3.655734063430424E-09 -5.555604917822532E-08
 6.407912867167012E+00 -5.201249209108028E-08 -4.580252710998421E-09 -6.893259458697327E-08
 6.614619733849818E+00 -5.453713569636420E-08 -5.649250074862191E-09 -8.482882694689664E-08
 6.821326600532625E+00 -5.702946381802576E-08 -6.870299776550558E-09 -1.035471224546592E-07
 7.028033467215432E+00 -5.952310999646215E-08 -8.249733357764420E-09 -1.253977305760379E-07
 7.234740333898239E+00 -6.197364044169262E-08 -9.792719451982316E-09 -1.506970021895297E-07
 7.441447200581046E+00 -6.439448085870936E-08 -1.150325400695497E-08 -1.797653888843834E-07
 7.648154067263853E+00 -6.678918396119116E-08 -1.338445420766185E-08 -2.129265853334733E-07
 7.854860933946660E+00 -6.911735894732374E-08 -1.543821426685039E-08 -2.505049894053267E-07
 8.061567800629465E+00 -7.141341740179996E-08 -1.766631456857387E-08 -2.928261934432952E-07
 8.268274667312273E+00 -7.365262177927434E-08 -2.006962846923011E-08 -3.402161847085427E-07
 8.474981533995079E+00 -7.582616134982345E-08 -2.264841339680494E-08 -3.929996127968168E-07
 8.681688400677887E+00 -7.796354140054973E-08 -2.540395454875544E-08 -4.515030263248673E-07
 8.888395267360693E+00 -8.002386664429650E-08 -2.833653920845603E-08 -5.160512726038681E-07
 9.095102134043499E+00 -8.202906798260301E-08 -3.144642276972963E-08 -5.869669874970573E-07
 9.301809000726307E+00 -8.397427819772929E-08 -3.473460104188790E-08 -6.645759841622781E-07
 9.508515867409113E+00 -8.583530686223639E-08 -3.820209232234789E-08 -7.492023010950538E-07
 9.715222734091920E+00 -8.763604597561425E-08 -4.185030529160453E-08 -8.411692552423451E-07
 9.921929600774726E+00 -8.935331408110869E-08 -4.568114045433230E-08 -9.408043395744771E-07
 1.012863646745753E+01 -9.098193487488970E-08 -4.969634512121546E-08 -1.048432761018195E-06
 1.033534333414034E+01 -9.254379662593237E-08 -5.389845903233961E-08 -1.164378975645232E-06
 1.054205020082315E+01 -9.400708833595672E-08 -5.829073534173282E-08 -1.288968527432118E-06
