# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v3.6.0_alpha                                                
#!BT DATE                        21-JUN-2024_14:13:08_+0200                                  
#!BT SYSID                       "Na4_dx0.7"                                                 
#!BT NATOMS                      4                                                           
#!BT NTYPES                      1                                                           
#!BT ATOMSPERTYPE                4                                                           
#!BT NELEC                       2.000000E+00,2.000000E+00                                   
#!BT DX                   a0     7.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   global                                                      
#!BT BOOSTENERGY          Ry     1.000000E-04                                                
#!BT BOOSTKVEC                   5.773503E-01,5.773503E-01,5.773503E-01                      
#!BT EXCITATION                  no                                                          
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      0                                                           
#!BT LASERFREQ            Ry                                                                 
#!BT LASERINT             W/cm^2                                                             
#!BT LASEREFIELD          E_ry                                                               
#!BT LASERPOLX                                                                               
#!BT LASERPOLY                                                                               
#!BT LASERPOLZ                                                                               
#!BT LASERSTART           t_ry                                                               
#!BT LASEREND             t_ry                                                               
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT AREA_NAME                   global                                                      
#!BT DIP0                 dip_ry 2.618125E-07,-3.418858E-08,-2.717010E-08                    
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 2.067068666828068E-01 -6.927440213381000E-03 -7.013350931040568E-03 -7.005460394121418E-03
 4.134137333656137E-01 -1.344455746476106E-02 -1.353635411319765E-02 -1.350415852119883E-02
 6.201206000484205E-01 -2.032044948167827E-02 -2.053701584238629E-02 -2.052173133133286E-02
 8.268274667312273E-01 -2.676136820732770E-02 -2.702951590647528E-02 -2.704776694297363E-02
 1.033534333414034E+00 -3.318979859864580E-02 -3.354146777958982E-02 -3.363554994852551E-02
 1.240241200096841E+00 -3.972273580794441E-02 -4.022822903587209E-02 -4.045838483272877E-02
 1.446948066779648E+00 -4.574690526102767E-02 -4.632881083516448E-02 -4.671832494387434E-02
 1.653654933462455E+00 -5.200717413743359E-02 -5.278056334147457E-02 -5.338639250392999E-02
 1.860361800145262E+00 -5.793251105471044E-02 -5.888435817554456E-02 -5.974980875392537E-02
 2.067068666828068E+00 -6.362801555395375E-02 -6.477315793185032E-02 -6.594381716485834E-02
 2.273775533510875E+00 -6.944517673419220E-02 -7.090363210725387E-02 -7.245729072256400E-02
 2.480482400193682E+00 -7.468200584861757E-02 -7.640614249367936E-02 -7.839577170494236E-02
 2.687189266876489E+00 -8.001603322677929E-02 -8.213094295850021E-02 -8.463898193564395E-02
 2.893896133559295E+00 -8.507392933981152E-02 -8.762983346427913E-02 -9.074224456061224E-02
 3.100603000242102E+00 -8.967958476050505E-02 -9.267703668814652E-02 -9.646917217362801E-02
 3.307309866924909E+00 -9.443014072260383E-02 -9.802999640209654E-02 -1.026152381339840E-01
 3.514016733607716E+00 -9.856352465256381E-02 -1.027423838551443E-01 -1.082146905070062E-01
 3.720723600290523E+00 -1.025791671850857E-01 -1.074328856573356E-01 -1.138997413232258E-01
 3.927430466973330E+00 -1.064441116592372E-01 -1.120757639664195E-01 -1.196643673799043E-01
 4.134137333656136E+00 -1.096866785735680E-01 -1.160704855778056E-01 -1.248839996176324E-01
 4.340844200338943E+00 -1.130130360785725E-01 -1.203061494184301E-01 -1.304764930532549E-01
 4.547551067021750E+00 -1.158065237677512E-01 -1.240155410383942E-01 -1.356685528930241E-01
 4.754257933704557E+00 -1.182790366621096E-01 -1.274490615628604E-01 -1.407007221698696E-01
 4.960964800387364E+00 -1.207015054528182E-01 -1.309636615273013E-01 -1.459549388978020E-01
 5.167671667070171E+00 -1.224444585403167E-01 -1.337565681113716E-01 -1.506059227382937E-01
 5.374378533752978E+00 -1.241751243364297E-01 -1.366617635745835E-01 -1.554965677253791E-01
 5.581085400435784E+00 -1.255072973899541E-01 -1.392075934063954E-01 -1.601621697883572E-01
 5.787792267118591E+00 -1.263557259020312E-01 -1.412628893160427E-01 -1.644515945205492E-01
 5.994499133801398E+00 -1.272240841939236E-01 -1.434734005161952E-01 -1.690309655605886E-01
 6.201206000484205E+00 -1.274461226972321E-01 -1.449942291573486E-01 -1.730421835403500E-01
 6.407912867167012E+00 -1.275335073300422E-01 -1.464523132462879E-01 -1.771058877587923E-01
 6.614619733849818E+00 -1.273960696925659E-01 -1.477465471448311E-01 -1.811364458667194E-01
 6.821326600532625E+00 -1.266840420242467E-01 -1.484135354250012E-01 -1.846465031601395E-01
 7.028033467215432E+00 -1.260023224545484E-01 -1.492237344943695E-01 -1.884194531406773E-01
 7.234740333898239E+00 -1.247750021944118E-01 -1.494486264737124E-01 -1.917293952825979E-01
 7.441447200581046E+00 -1.232779856260128E-01 -1.494160050100198E-01 -1.948811019022633E-01
 7.648154067263853E+00 -1.217172465245580E-01 -1.493922681655072E-01 -1.981575618091179E-01
 7.854860933946659E+00 -1.195934779646100E-01 -1.487111528119197E-01 -2.008739638214052E-01
 8.061567800629467E+00 -1.174977793825798E-01 -1.481234867756890E-01 -2.037715758887532E-01
 8.268274667312273E+00 -1.150435439804356E-01 -1.471455159876777E-01 -2.063797222733842E-01
 8.474981533995081E+00 -1.122326195972602E-01 -1.457536148834189E-01 -2.086493018368456E-01
 8.681688400677887E+00 -1.094609601853442E-01 -1.444670877476693E-01 -2.111122722982603E-01
 8.888395267360693E+00 -1.061682463831436E-01 -1.425483184464477E-01 -2.130290989023235E-01
 9.095102134043501E+00 -1.028293922420533E-01 -1.405958929506951E-01 -2.149726569310985E-01
 9.301809000726307E+00 -9.930860293633795E-02 -1.384482490014461E-01 -2.167971928978200E-01
 9.508515867409114E+00 -9.538239553991738E-02 -1.357826381036605E-01 -2.181563239213760E-01
 9.715222734091920E+00 -9.156255546730163E-02 -1.332603506269562E-01 -2.197087954702185E-01
