# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v3.6.0_alpha                                                
#!BT DATE                        21-JUN-2024_12:44:33_+0200                                  
#!BT SYSID                       "Na4_dx0.7"                                                 
#!BT NATOMS                      4                                                           
#!BT NTYPES                      1                                                           
#!BT ATOMSPERTYPE                4                                                           
#!BT NELEC                       2.000000E+00,2.000000E+00                                   
#!BT DX                   a0     7.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   no                                                          
#!BT BOOSTENERGY          Ry     0.000000E+00                                                
#!BT BOOSTKVEC                   0.000000E+00,0.000000E+00,0.000000E+00                      
#!BT EXCITATION                  laser_mono                                                  
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      1                                                           
#!BT LASERFREQ            Ry     2.000018E-01                                                
#!BT LASERINT             W/cm^2 1.000000E+07                                                
#!BT LASEREFIELD          E_ry   2.387186E-05                                                
#!BT LASERPOLX                   5.773503E-01                                                
#!BT LASERPOLY                   5.773503E-01                                                
#!BT LASERPOLZ                   5.773503E-01                                                
#!BT LASERSTART           t_ry   0.000000E+00                                                
#!BT LASEREND             t_ry   6.201206E+01                                                
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT AREA_NAME                   global                                                      
#!BT DIP0                 dip_ry 2.618125E-07,-3.418858E-08,-2.717010E-08                    
#time                 |           x          |           y          |           z          |
 0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
 2.067068666828068E-01 -1.485228142787040E-09 -1.006026265640310E-09 -1.030972623495138E-09
 4.134137333656137E-01 -1.350967078936439E-08 -1.183962004614489E-08 -1.174998452890903E-08
 6.201206000484205E-01 -6.026345048153720E-08 -5.680979165897533E-08 -5.621040937700938E-08
 8.268274667312273E-01 -1.791981175782288E-07 -1.734998466761924E-07 -1.716711759002573E-07
 1.033534333414034E+00 -4.257811541650874E-07 -4.184954326495576E-07 -4.144897924825742E-07
 1.240241200096841E+00 -8.674365449327416E-07 -8.591741049553814E-07 -8.512098303479515E-07
 1.446948066779648E+00 -1.586623093097910E-06 -1.579411366495514E-06 -1.566467792564706E-06
 1.653654933462455E+00 -2.680989725467479E-06 -2.678240297058438E-06 -2.659910185046696E-06
 1.860361800145262E+00 -4.258447845328049E-06 -4.264603823750673E-06 -4.241272981982812E-06
 2.067068666828068E+00 -6.441282788875095E-06 -6.463132079763395E-06 -6.436512498441519E-06
 2.273775533510875E+00 -9.362910026422355E-06 -9.409397239381061E-06 -9.383159988145026E-06
 2.480482400193682E+00 -1.316685875798024E-05 -1.324970784213061E-05 -1.323019071191544E-05
 2.687189266876489E+00 -1.800719409243194E-05 -1.814190033048624E-05 -1.813888775341295E-05
 2.893896133559295E+00 -2.404652291303019E-05 -2.425289608003574E-05 -2.428140604375638E-05
 3.100603000242102E+00 -3.145502865518669E-05 -3.175707476274948E-05 -3.183545879404035E-05
 3.307309866924909E+00 -4.040881694428931E-05 -4.083740779031539E-05 -4.101091450189220E-05
 3.514016733607716E+00 -5.108807928716342E-05 -5.168113048718462E-05 -5.199154605191909E-05
 3.720723600290523E+00 -6.367758001268986E-05 -6.448277656335237E-05 -6.498509636715167E-05
 3.927430466973330E+00 -7.836261907723897E-05 -7.943561632554008E-05 -8.019352477857874E-05
 4.134137333656136E+00 -9.533203823058457E-05 -9.673979530967923E-05 -9.783551417230716E-05
 4.340844200338943E+00 -1.147766964415361E-04 -1.165991436818148E-04 -1.181312062009086E-04
 4.547551067021750E+00 -1.368866821047755E-04 -1.392182136490140E-04 -1.413055834244708E-04
 4.754257933704557E+00 -1.618477888255148E-04 -1.647986447941869E-04 -1.675848864425555E-04
 4.960964800387364E+00 -1.898428349222859E-04 -1.935416243588044E-04 -1.971935350658717E-04
 5.167671667070171E+00 -2.210492724594916E-04 -2.256439669670404E-04 -2.303602640659139E-04
 5.374378533752978E+00 -2.556384714227745E-04 -2.613003202358463E-04 -2.673180072463189E-04
 5.581085400435784E+00 -2.937700412846072E-04 -3.006911629783367E-04 -3.082773033043661E-04
 5.787792267118591E+00 -3.356005926207072E-04 -3.440015376300618E-04 -3.534614734920178E-04
 5.994499133801398E+00 -3.812698010407157E-04 -3.913960901203169E-04 -4.030800626368690E-04
